id,外貌,星座,状态,性格,消费观念,是否接收私房钱,收入,男生收入,男生消费情况,男生颜值,结果
1,2,2,3,3,2,2,3,1,1,1,5
1,2,2,3,3,2,2,3,1,1,2,4
1,2,2,3,3,2,2,3,1,2,1,2
1,2,2,3,3,2,2,3,1,2,2,2
1,2,2,3,3,2,2,3,2,1,1,4
1,2,2,3,3,2,2,3,2,1,2,3
1,2,2,3,3,2,2,3,2,2,1,2
1,2,2,3,3,2,2,3,2,2,2,1
3,2,4,2,1,1,2,3,1,1,1,5
3,2,4,2,1,1,2,3,1,1,2,5
3,2,4,2,1,1,2,3,1,2,1,1
3,2,4,2,1,1,2,3,1,2,2,1
3,2,4,2,1,1,2,3,2,1,1,3
3,2,4,2,1,1,2,3,2,1,2,3
3,2,4,2,1,1,2,3,2,2,1,1
3,2,4,2,1,1,2,3,2,2,2,1
4,1,3,2,3,1,2,3,1,1,1,5
4,1,3,2,3,1,2,3,1,1,2,1
4,1,3,2,3,1,2,3,1,2,1,5
4,1,3,2,3,1,2,3,1,2,2,1
4,1,3,2,3,1,2,3,2,1,1,5
4,1,3,2,3,1,2,3,2,1,2,1
4,1,3,2,3,1,2,3,2,2,1,5
4,1,3,2,3,1,2,3,2,2,2,1
8,2,4,2,1,1,2,1,1,1,1,5
8,2,4,2,1,1,2,1,1,1,2,5
8,2,4,2,1,1,2,1,1,2,1,1
8,2,4,2,1,1,2,1,1,2,2,2
8,2,4,2,1,1,2,1,2,1,1,5
8,2,4,2,1,1,2,1,2,1,2,3
8,2,4,2,1,1,2,1,2,2,1,1
8,2,4,2,1,1,2,1,2,2,2,1
9,1,3,3,1,1,2,3,1,1,1,5
9,1,3,3,1,1,2,3,1,1,2,5
9,1,3,3,1,1,2,3,1,2,1,5
9,1,3,3,1,1,2,3,1,2,2,5
9,1,3,3,1,1,2,3,2,1,1,3
9,1,3,3,1,1,2,3,2,1,2,3
9,1,3,3,1,1,2,3,2,2,1,1
9,1,3,3,1,1,2,3,2,2,2,1
11,1,4,3,3,2,1,3,1,1,1,5
11,1,4,3,3,2,1,3,1,1,2,2
11,1,4,3,3,2,1,3,1,2,1,5
11,1,4,3,3,2,1,3,1,2,2,1
11,1,4,3,3,2,1,3,2,1,1,5
11,1,4,3,3,2,1,3,2,1,2,3
11,1,4,3,3,2,1,3,2,2,1,2
11,1,4,3,3,2,1,3,2,2,2,1
12,2,4,2,1,1,2,2,1,1,1,2
12,2,4,2,1,1,2,2,1,1,2,2
12,2,4,2,1,1,2,2,1,2,1,3
12,2,4,2,1,1,2,2,1,2,2,3
12,2,4,2,1,1,2,2,2,1,1,1
12,2,4,2,1,1,2,2,2,1,2,1
12,2,4,2,1,1,2,2,2,2,1,1
12,2,4,2,1,1,2,2,2,2,2,1
14,2,4,3,3,3,2,2,1,1,1,5
14,2,4,3,3,3,2,2,1,1,2,5
14,2,4,3,3,3,2,2,1,2,1,4
